Node,Pagerank 
807,0.000464563
808,0.000436477
809,0.001238012
810,0.000428344
811,0.001291884
812,0.000123195
813,0.000570539
814,0.000168472
815,0.000595303
816,0.000658421
817,0.000495773
818,0.001036355
819,0.000716585
820,0.000557083
821,0.000337038
822,0.000259207
823,0.000368354
824,0.000299261
825,0.000529196
826,0.000659719
827,0.000817345
828,0.000664298
829,0.0001241
830,0.000305399
831,0.000272755
832,0.000636928
833,0.000327155
834,0.000570392
835,0.000148714
836,0.000832892
837,0.000256918
838,0.0006418
839,0.000120215
840,0.000430683
841,0.000106352
842,0.000222879
843,0.000201011
844,9.90E-05
845,0.000113104
846,0.000157998
847,0.000330271
848,0.000529967
849,0.00040202
850,0.000829873
851,0.000974614
852,0.000137404
853,0.000136787
854,0.000840214
855,0.000562852
856,0.000122297
857,0.000124777
858,0.000468422
859,0.000382717
860,0.000183906
861,0.000111327
862,0.000272661
863,0.000260127
864,0.000244278
865,0.000559163
866,0.000176897
867,0.000631128
868,0.000327707
869,0.000112344
870,0.000455325
871,0.000744475
872,0.000423629
873,0.00015345
874,0.000518939
875,0.000490673
876,0.000755119
877,0.000179813
878,0.000645826
879,0.000344877
880,0.001657234
881,0.000769772
882,0.000666145
883,0.000740353
884,0.000891138
885,0.000513567
886,0.001442606
887,0.00071551
888,0.001001776
889,0.001865507
890,0.000412692
891,0.000145053
892,0.000217875
893,0.000144417
894,0.000716887
895,0.000416438
896,0.000441175
897,0.000161607
898,0.000607762
899,0.000817111
900,0.000450684
901,0.000466788
902,0.000123848
903,0.000256123
904,0.000689384
905,0.000640672
906,0.001433162
907,0.001027325
908,0.000447281
909,0.000262988
910,0.001027567
911,0.000257117
912,0.000548277
913,0.000406893
914,0.000864493
915,0.000379679
916,0.000269213
917,0.001174216
918,0.000888415
919,0.000526655
920,0.000750646
921,0.000190175
922,0.001235551
923,0.000490451
924,0.000205051
925,0.000125028
926,0.00016258
927,0.000554278
928,0.000828643
929,0.000380869
930,0.000442484
931,0.000805063
932,0.000714532
933,0.000896395
